         565223 function calls (542918 primitive calls) in 20.704 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.045    0.045 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\_libs\__init__.py:1(<module>)
        1    0.000    0.000    0.045    0.045 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\nn\tasks.py:546(torch_safe_load)
       50    0.000    0.000    0.045    0.001 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\urllib\request.py:2703(getproxies)
        1    0.000    0.000    0.043    0.043 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\serialization.py:856(load)
       50    0.001    0.000    0.043    0.001 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\socket.py:937(getaddrinfo)
       50    0.001    0.000    0.042    0.001 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\PIL\Image.py:3189(open)
       50    0.041    0.001    0.042    0.001 {built-in method _socket.getaddrinfo}
        1    0.000    0.000    0.042    0.042 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\arrays\arrow\__init__.py:1(<module>)
       25    0.042    0.002    0.042    0.002 {method 'softmax' of 'torch._C._TensorBase' objects}
      313    0.001    0.000    0.041    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
        1    0.000    0.000    0.041    0.041 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\serialization.py:1317(_load)
      100    0.000    0.000    0.040    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\nn\modules\conv.py:313(forward)
        1    0.010    0.010    0.040    0.040 {method 'load' of '_pickle.Unpickler' objects}
        1    0.000    0.000    0.040    0.040 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\arrays\arrow\array.py:1(<module>)
        1    0.038    0.038    0.038    0.038 {destroyAllWindows}
      439    0.004    0.000    0.038    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\textwrap.py:414(dedent)
       57    0.000    0.000    0.038    0.001 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\nn\modules\conv.py:428(__init__)
       57    0.001    0.000    0.037    0.001 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\nn\modules\conv.py:70(__init__)
       50    0.000    0.000    0.036    0.001 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\adapters.py:331(get_connection)
        1    0.000    0.000    0.035    0.035 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\_libs\tslibs\__init__.py:1(<module>)
      270    0.001    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
        1    0.000    0.000    0.034    0.034 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\indexing.py:1(<module>)
       75    0.001    0.000    0.034    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\logging\__init__.py:1436(info)
      270    0.033    0.000    0.033    0.000 {built-in method marshal.loads}
